,0
2000-10-15,-0.2762215549280455
2000-10-31,0.08531082716324247
2000-11-16,0.09974568601163193
2000-12-02,0.12376726200210861
2000-12-18,-0.34333770673563385
2001-01-01,0.1046830780587496
2001-01-17,0.0659084199386778
2001-02-02,0.026029579312421752
2001-02-18,0.0373251883723236
2001-03-06,-0.09908836685187553
2001-03-22,-0.021577803844194443
2001-04-07,-0.006369559679063802
2001-04-23,
2001-05-09,
2001-05-25,
2001-06-10,-0.04436257114047562
2001-06-26,-0.08668928405462556
2001-07-12,-0.07213208531216103
2001-07-28,-0.027642404216834504
2001-08-13,-0.04037207156750014
2001-08-29,-0.0004543339692562043
2001-09-14,0.03541683787710517
2001-09-30,0.05317515977652468
2001-10-16,-0.06009611781277341
2001-11-01,0.08997275299686794
2001-11-17,0.06345890497259918
2001-12-03,-0.4736222482613228
2001-12-19,-0.35651267130320086
2002-01-01,
2002-01-17,
2002-02-02,
2002-02-18,
2002-03-22,-0.0027271446989484555
2002-04-07,-0.07160105323508179
2002-04-23,-0.06755056011089317
2002-05-09,-0.06502515052421659
2002-05-25,0.02383396307737895
2002-06-10,-0.06590937980865208
2002-06-26,-0.010805078582349081
2002-07-12,0.06263055340976845
2002-07-28,0.0037060432054497328
2002-08-13,-0.008428480539850763
2002-08-29,0.004454315578810347
2002-09-14,-0.013146097016458635
2002-09-30,0.04188258806089623
2002-10-16,0.09796847206513908
2002-11-01,0.14059031895170243
2002-11-17,-0.02398974833885273
2002-12-03,0.30440307196988203
2002-12-19,-0.20037115739049283
2003-01-01,0.28326668670544947
2003-01-17,0.30318903210257586
2003-02-02,0.2093330350469097
2003-02-18,0.16800508847172002
2003-03-06,
2003-03-22,0.08936791203667355
2003-04-07,-0.058692386376739084
2003-04-23,0.030676315374531866
2003-05-09,-0.053165004134569815
2003-05-25,-0.026486669642081323
2003-06-10,-0.026452358075321813
2003-06-26,-0.009573725506331732
2003-07-12,0.01986779144173656
2003-07-28,0.021709346090343556
2003-08-13,0.018923077811505984
2003-08-29,0.03502932827701055
2003-09-14,0.046846361846721696
2003-09-30,-0.0164975693014026
2003-10-16,0.051777379575969895
2003-11-01,0.03920250714489725
2003-11-17,0.0651094171181236
2003-12-03,0.10871747951751062
2003-12-19,-0.31891363086394764
2004-01-01,-0.30874481482145166
2004-01-17,0.2014293818995726
2004-02-02,0.09681430448038975
2004-02-18,0.0571294123680037
2004-03-05,0.06649045043909918
2004-03-21,0.006079865159648076
2004-04-06,0.0059470541513621245
2004-04-22,0.014622990474003325
2004-05-08,0.06790073627804541
2004-05-24,-0.012382481325144884
2004-06-09,0.028823237589688216
2004-06-25,-0.014738951112015147
2004-07-11,0.002794065924539346
2004-07-27,0.02636799979830018
2004-08-12,-0.06762635425624008
2004-08-28,0.05154045952194894
2004-09-13,-0.044407540059528516
2004-09-29,0.07783044293230912
2004-10-15,-0.11151833652191637
2004-10-31,0.05731840863023653
2004-11-16,0.13923518681385846
2004-12-02,0.11212212829528148
2004-12-18,-0.02717883134029231
2005-01-01,-0.16958634003896667
2005-01-17,
2005-02-02,-0.0019734206338962723
2005-02-18,0.09489435076415942
2005-03-06,0.06293585708028482
2005-03-22,0.08368112408114811
2005-04-07,0.043397891054965096
2005-04-23,0.05464884872115055
2005-05-09,0.12059372701626953
2005-05-25,0.028817154963062558
2005-06-10,0.04328344019936997
2005-06-26,-0.043195575045328644
2005-07-12,0.0554634523272291
2005-07-28,0.025003335195703164
2005-08-13,0.013335290931582977
2005-08-29,-0.07505569900524098
2005-09-14,-0.018472972191001802
2005-09-30,-0.08102438332507705
2005-10-16,-0.0727239476773475
2005-11-01,-0.43637778383815556
2005-11-17,0.17377547891887218
2005-12-03,0.1636892296289154
2005-12-19,
2006-01-01,0.1246570050325842
2006-01-17,-0.08876642296717094
2006-02-02,0.12520172631763882
2006-02-18,-0.20016356059879756
2006-03-06,-0.04641774759150247
2006-03-22,-0.3254728514366053
2006-04-07,-0.05278052636257376
2006-04-23,-0.05312048953469069
2006-05-09,0.036569488896055366
2006-05-25,0.07799169266216294
2006-06-10,-0.04655850305298473
2006-06-26,0.010591950276693518
2006-07-12,-0.006207247569001706
2006-07-28,0.0043075524642336716
2006-08-13,0.07032312018225825
2006-08-29,0.054149152335908834
2006-09-14,0.06009832599290316
2006-09-30,0.04158191717764195
2006-10-16,0.081272053315736
2006-11-01,0.1417107076597617
2006-11-17,-0.34328163175174575
2006-12-03,-0.32593004184747
2006-12-19,0.044225687466309116
2007-01-01,-0.2353545334510191
2007-01-17,0.19911055266640998
2007-02-02,
2007-02-18,-0.28110149935574047
2007-03-06,0.06489796547332338
2007-03-22,0.0006499273987079501
2007-04-07,0.06785427306869914
2007-04-23,0.006239358512087109
2007-05-09,-0.025331444098486824
2007-05-25,0.01671273000835835
2007-06-10,0.08010582479667008
2007-06-26,0.06148410263721621
2007-07-12,0.01716066855679005
2007-07-28,0.08816924683065888
2007-08-13,0.10351349840608853
2007-08-29,0.10824847820617109
2007-09-14,0.06240564150440428
2007-09-30,-0.04185323551909828
2007-10-16,-0.06612577152237703
2007-11-01,-0.05164832120316874
2007-11-17,-0.0071997971360144575
2007-12-03,-0.05521590997396186
2007-12-19,-0.24083556165572814
2008-01-01,-0.14828266500101647
2008-01-17,0.014016020224645265
2008-02-02,-0.0126587809515884
2008-02-18,0.11104033002188787
2008-03-05,-0.0161319854494002
2008-03-21,0.04259909881951987
2008-04-06,-0.08282062430254672
2008-04-22,-0.05696184674808516
2008-05-08,-0.043734672784341025
2008-05-24,0.025407482153562852
